Custom Office,Reg Number,Importer,HS Code,FOB Value (N),CIF Value (N),Total Tax(N),Receipt Number,Receipt Date,Mass(KG),Country  of Origin,Country  of Supply,Nbr Of Containers,Container Nbr,Container Size
NT,C43291,90259,41401000,5456530,7780251,95044,R53706,2021-05-16,67000,China,China,3,CMAU4497836,45G1
NT,C43291,90259,41401000,5456530,7780251,95044,R53706,2021-05-16,67000,China,China,3,TRLU7192242,45G1
NT,C43291,90259,39290000,2903607,4139745,1190548,R53706,2021-05-16,850,China,China,3,TRLU7192242,45G1
NT,C43291,90259,39290000,2903607,4139745,1190548,R53706,2021-05-16,850,China,China,3,CMAU4497836,45G1
NT,C43291,90259,39290000,2903607,4139745,1190548,R53706,2021-05-16,850,China,China,3,CMAU4431314,45G1
NT,C43294,68942,18300000,1353808,1492610,433210,R52399,2021-11-05,4580,China,China,1,MSKU9057912,45G0
NT,C43297,2557,28739000,9080936,10002699,2896743,R58765,2021-05-27,9600,China,China,1,RFCU4019020,40DV
NT,C43298,90259,44491000,4537131,6572181,1151056,R53708,2021-05-16,1800,China,China,2,ECMU1171216,22G1
NT,C43298,90259,44491000,4537131,6572181,1151056,R53708,2021-05-16,1800,China,China,2,CMAU0348623,22G1
NT,C43298,90259,41401000,2587028,3746949,46182,R53708,2021-05-16,50000,China,China,2,CMAU0348623,22G1
NT,C43298,90259,41401000,2587028,3746949,46182,R53708,2021-05-16,50000,China,China,2,ECMU1171216,22G1
NT,C43301,96550,18500000,501783,501783,146880,R53320,2021-05-13,1000,United States,United States,1,TCNU8920401,40HC
NT,C43306,48114,4100000,9082512,10007033,677730,R50573,2021-06-05,10316,China,China,1,CCLU7353980,40DV
NT,C43312,37897,44491000,3712883,4280637,758338,R52579,2021-12-05,7000,China,China,2,CMAU5196626,45G1
NT,C43312,37897,44491000,3712883,4280637,758338,R52579,2021-12-05,7000,China,China,2,INKU2609410,45G1
NT,C43312,37897,41401000,4024340,4639571,65018,R52579,2021-12-05,41900,China,China,2,INKU2609410,45G1
NT,C43312,37897,41401000,4024340,4639571,65018,R52579,2021-12-05,41900,China,China,2,CMAU5196626,45G1
NT,C43312,37897,39290000,3582666,4130523,1195095,R52579,2021-12-05,3000,China,China,2,INKU2609410,45G1
NT,C43312,37897,39290000,3582666,4130523,1195095,R52579,2021-12-05,3000,China,China,2,CMAU5196626,45G1
NT,C43324,90259,35300000,4631100,6465692,772475,R53707,2021-05-16,727,China,China,1,TCNU4018282,45G1
NT,C43324,90259,41401000,4788700,6685554,82891,R53707,2021-05-16,23000,China,China,1,TCNU4018282,45G1
NT,C43325,52041,28739000,501783,501783,146880,R53416,2021-05-16,240,United States,United States,1,FCIU8822077,40HC
NT,C43330,82412,19819000,9092165,10016686,2900777,R58764,2021-05-27,8727,China,China,1,CCLU6283018,40DV
NT,C43338,76949,21901000,1971600,2503894,722804,R50442,2021-06-05,17850,China,China,1,CAIU3257735,20DV
NT,C43357,52128,27120000,151714,151714,45203,R50394,2021-06-05,300,Italy,Italy,1,TCKU2425690,20DC
NT,C43358,18967,28739000,251790,251790,74269,R53418,2021-05-16,1800,United States,United States,1,CAIU9022614,40HC
NT,C43359,56109,38100000,513800,598510,73491,R50570,2021-06-05,5000,China,China,1,TCLU9420595,40GP
NT,C43359,56109,46200000,1479100,1723577,209237,R50570,2021-06-05,5000,China,China,1,TCLU9420595,40GP
NT,C43359,56109,36300000,1124500,1310271,379756,R50570,2021-06-05,10000,China,China,1,TCLU9420595,40GP
NT,C43359,56109,4501000,2129200,2481042,167926,R50570,2021-06-05,3160,China,China,1,TCLU9420595,40GP
NT,C43360,62006,28739000,501783,501783,146880,R50421,2021-06-05,1000,United Kingdom,United Kingdom,1,MRKU4360009,45G1
NT,C43364,84296,2400000,4237100,5088731,341553,R50500,2021-06-05,7638,China,China,1,TCNU9963603,40DV
NT,C43374,23971,9400000,1700725,2049218,592674,R50766,2021-06-05,7000,China,China,5,CAIU9401639,45G1
NT,C43374,23971,9400000,1700725,2049218,592674,R50766,2021-06-05,7000,China,China,5,BSIU9275011,45G1
NT,C43374,23971,9400000,1700725,2049218,592674,R50766,2021-06-05,7000,China,China,5,CMAU5599302,45G1
NT,C43374,23971,9400000,1700725,2049218,592674,R50766,2021-06-05,7000,China,China,5,INKU2647810,45G1
